movie_id,director_id
1,31
2,69
3,71
4,11
5,44
6,68
7,69
8,12
9,34
10,34
11,43
12,71
13,18
14,23
15,6
16,55
17,63
18,27
19,18
20,29
21,90
22,82
23,12
24,67
25,19
26,80
27,57
28,10
29,55
30,93
31,82
32,70
33,11
34,95
35,98
36,42
37,59
38,22
39,88
40,36
41,44
42,4
43,5
44,98
45,2
46,100
47,4
48,100
49,86
50,89
51,4
52,93
53,4
54,11
55,42
56,22
57,97
58,96
59,82
60,75
61,11
62,11
63,89
64,25
65,62
66,13
67,57
68,69
69,83
70,48
71,8
72,81
73,96
74,78
75,4
76,93
77,20
78,46
79,41
80,49
81,87
82,15
83,65
84,83
85,38
86,97
87,38
88,34
89,21
90,11
91,70
92,19
93,77
94,86
95,74
96,70
97,62
98,37
99,63
100,67
101,99
102,10
103,20
104,23
105,98
106,37
107,65
108,80
109,6
110,41
111,49
112,61
113,6
114,65
115,56
116,60
117,4
118,6
119,77
120,7
121,1
122,85
123,34
124,32
125,49
126,45
127,82
128,44
129,12
130,47
131,93
132,67
133,36
134,68
135,20
136,52
137,49
138,73
139,16
140,31
141,53
142,20
143,35
144,66
145,30
146,42
147,48
148,85
149,7
150,47
151,40
152,22
153,74
154,49
155,94
156,6
157,71
158,92
159,6
160,81
161,61
162,7
163,53
164,27
165,31
166,53
167,78
168,79
169,72
170,59
171,80
172,46
173,3
174,99
175,80
176,100
177,82
178,68
179,24
180,17
181,9
182,8
183,35
184,7
185,16
186,51
187,33
188,68
189,16
190,72
191,68
192,95
193,1
194,34
195,81
196,94
197,34
198,83
199,23
200,71
201,61
202,64
203,32
204,67
205,25
206,49
207,92
208,98
209,25
210,68
211,83
212,9
213,52
214,35
215,32
216,20
217,87
218,9
219,19
220,90
221,52
222,80
223,87
224,38
225,93
226,22
227,67
228,74
229,83
230,86
231,86
232,94
233,40
234,53
235,39
236,21
237,3
238,32
239,54
240,97
241,92
242,17
243,48
244,93
245,93
246,68
247,56
248,28
249,14
250,40
251,100
252,33
253,11
254,60
255,6
256,50
257,38
258,81
259,50
260,21
261,46
262,97
263,48
264,97
265,38
266,6
267,24
268,52
269,30
270,93
271,87
272,48
273,44
274,70
275,88
276,24
277,38
278,25
279,94
280,3
281,86
282,11
283,61
284,49
285,40
286,53
287,36
288,38
289,66
290,74
291,68
292,65
293,3
294,99
295,29
296,94
297,14
298,48
299,31
300,72
